,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Treibstoff,Treibstoff,LOC,0.00000000,0.00000000,de,2.90000000,,-1,,,,,,
Inselstaat,Inselstaat,LOC,0.25000000,0.71428571,de,2.80000000,,-1,,,,,,
Zyklon Fina,Zyklon Fina,LOC,-0.71428571,0.00000000,de,2.80000000,,-1,,,,,,
Karibikinseln,Karibikinseln,LOC,0.00000000,0.00000000,de,2.80000000,,-1,,,,,,
Zyklon,Zyklon,LOC,0.00000000,0.00000000,de,2.80000000,,-1,,,,,,
Stromausfälle,Stromausfälle,LOC,0.50000000,0.35714286,de,2.80000000,,-1,,,,,,
Berlin,Berlin,LOC,0.00000000,0.00000000,de,2.80000000,,-1,,,,,,
Indien,Indien,LOC,0.50000000,0.00000000,de,2.80000000,,-1,,,,,,
Stadt,Stadt,LOC,0.00000000,0.00000000,de,2.80000000,,-1,,,,,,
Hilfsgüter,Hilfsgüter,LOC,-0.23333333,0.66666667,de,2.00000000,,-1,,,,,,
US-Hurrikanzentrum,US-Hurrikanzentrum,LOC,-0.35000000,0.00000000,de,2.00000000,,-1,,,,,,
Jamaicas,Jamaicas,LOC,0.00000000,0.00000000,de,2.00000000,,-1,,,,,,
Naturkatastrophe,Naturkatastrophe,LOC,0.35000000,0.00000000,de,2.00000000,,-1,,,,,,
Trümmer,Trümmer,LOC,0.00000000,0.00000000,de,2.00000000,,-1,,,,,,
Díaz-Canel,Díaz-Canel,LOC,-1.50000000,0.00000000,de,2.00000000,,-1,,,,,,
Zentrum von Fung-Wong,Zentrum von Fung-Wong,LOC,0.00000000,0.00000000,de,2.00000000,,-1,,,,,,
Kurs,Kurs,LOC,-0.35000000,0.00000000,de,2.00000000,,-1,,,,,,
Pagasa,Pagasa,LOC,0.00000000,0.00000000,de,2.00000000,,-1,,,,,,
Landgang am Sonntag,Landgang am Sonntag,LOC,0.00000000,0.00000000,de,2.00000000,,-1,,,,,,
offenen Meer,offenen Meer,LOC,-0.15000000,0.00000000,de,2.00000000,,-1,,,,,,
Landes,Landes,LOC,0.00000000,0.00000000,de,2.00000000,,-1,,,,,,
Cebu,Cebu,LOC,0.35000000,0.00000000,de,2.00000000,,-1,,,,,,
Inselstaates,Inselstaates,LOC,0.00000000,0.00000000,de,2.00000000,,-1,,,,,,
Jamaica,Jamaica,LOC,0.00000000,0.00000000,de,2.00000000,,-1,,,,,,
Indonesiens,Indonesiens,LOC,0.73684211,0.00000000,de,1.90000000,,-1,,,,,,
Australiens,Australiens,LOC,-1.05263158,0.52631579,de,1.90000000,,-1,,,,,,
Madagaskars,Madagaskars,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
Nutznießern,Nutznießern,LOC,-0.73684211,0.00000000,de,1.90000000,,-1,,,,,,
Kürze,Kürze,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
Munich,Munich,LOC,-0.73684211,0.00000000,de,1.90000000,,-1,,,,,,
Santiago de Cuba,Santiago de Cuba,LOC,-0.52631579,0.00000000,de,1.90000000,,-1,,,,,,
Fort Lauderdale,Fort Lauderdale,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
Jahren,Jahren,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
Überflutungen,Überflutungen,LOC,-0.36842105,0.00000000,de,1.90000000,,-1,,,,,,
Haus,Haus,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
US-Regierung,US-Regierung,LOC,0.73684211,0.00000000,de,1.90000000,,-1,,,,,,
Malaysias,Malaysias,LOC,0.73684211,0.00000000,de,1.90000000,,-1,,,,,,
Supertaifun,Supertaifun,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
Luzon,Luzon,LOC,-0.36842105,0.00000000,de,1.90000000,,-1,,,,,,
Asien,Asien,LOC,-0.52631579,0.52631579,de,1.90000000,,-1,,,,,,
“,“,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
Manila,Manila,LOC,-0.52631579,0.52631579,de,1.90000000,,-1,,,,,,
Thailands,Thailands,LOC,0.73684211,0.00000000,de,1.90000000,,-1,,,,,,
Trauminsel,Trauminsel,LOC,0.73684211,0.00000000,de,1.90000000,,-1,,,,,,
Australien,Australien,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
Nordaustraliens,Nordaustraliens,LOC,-1.05263158,0.00000000,de,1.90000000,,-1,,,,,,
Zentralvietnam,Zentralvietnam,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
Toamasina,Toamasina,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
Straße von Malakka,Straße von Malakka,LOC,0.00000000,0.00000000,de,1.90000000,,-1,,,,,,
Prüfstand,Prüfstand,LOC,0.00000000,0.00000000,de,1.70000000,,-1,,,,,,
Washington,Washington,LOC,0.00000000,0.00000000,de,1.60000000,,-1,,,,,,
Landstriche,Landstriche,LOC,0.00000000,0.76923077,de,1.30000000,,-1,,,,,,
Kanadas,Kanadas,LOC,-0.38461538,0.38461538,de,1.30000000,,-1,,,,,,
Notstand,Notstand,LOC,0.00000000,0.00000000,de,1.30000000,,-1,,,,,,
Deutschland,Deutschland,LOC,0.00000000,0.00000000,de,1.10000000,,-1,,,,,,
Provinz Cebu …,Provinz Cebu …,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
U-Bahnhof Krumme Lanke,U-Bahnhof Krumme Lanke,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
New York,New York,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Gävleborgs län ,Gävleborgs län ,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
chars,chars,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Sturm Kurs,Sturm Kurs,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Anmarsch,Anmarsch,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Hofors,Hofors,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Auswärtige Amt,Auswärtige Amt,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Inselreich,Inselreich,LOC,0.00000000,1.00000000,de,1.00000000,,-1,,,,,,
"Wirbelsturm ""Gezani","Wirbelsturm ""Gezani",LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Bordeaux,Bordeaux,LOC,-1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Südchina,Südchina,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Provinz Gia Lai,Provinz Gia Lai,LOC,-0.85000000,0.00000000,de,1.00000000,,-1,,,,,,
Land ge…,Land ge…,LOC,-0.85000000,0.00000000,de,1.00000000,,-1,,,,,,
Fünf Tote,Fünf Tote,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
zentralvietnamesische Küste,zentralvietnamesische Küste,LOC,-0.35000000,0.50000000,de,1.00000000,,-1,,,,,,
Indischen Ozean,Indischen Ozean,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Spanien,Spanien,LOC,-0.23333333,0.00000000,de,1.00000000,,-1,,,,,,
Kalmaegi,Kalmaegi,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Südchinesischen Meer,Südchinesischen Meer,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Sturms,Sturms,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Mehr,Mehr,LOC,0.00000000,1.00000000,de,1.00000000,,-1,,,,,,
Toten,Toten,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Anm…,Anm…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Spaniens,Spaniens,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Nationale Amt für Risiko- und Katastrophenmanagement,Nationale Amt für Risiko- und Katastrophenmanagement,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Paraná,Paraná,LOC,-0.56666667,0.33333333,de,1.00000000,,-1,,,,,,
Küstengemeinden,Küstengemeinden,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Sumatra Utara,Sumatra Utara,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Archipel,Archipel,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Hippie-Klamotten,Hippie-Klamotten,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Urlaubsparadies,Urlaubsparadies,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Klima-Risiko-Index,Klima-Risiko-Index,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Taiwans,Taiwans,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Bualoi,Bualoi,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Str…,Str…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Taifun Fung-wong,Taifun Fung-wong,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Wirbelsturm-Skala,Wirbelsturm-Skala,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
wellig-ungezähmte Haar,wellig-ungezähmte Haar,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Norwegen,Norwegen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Sturmschäden,Sturmschäden,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Darwin …,Darwin …,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Sprintlegende Usain Bolt,Sprintlegende Usain Bolt,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Betroffenen,Betroffenen,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
SüdostasienMillionen,SüdostasienMillionen,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Hat Yai,Hat Yai,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Südthailand,Südthailand,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Dax-Konzern,Dax-Konzern,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Sulawesi,Sulawesi,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Asiens,Asiens,LOC,-0.50000000,0.50000000,de,1.00000000,,-1,,,,,,
Provinz Nueva Vizcaya,Provinz Nueva Vizcaya,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
KI,KI,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
US-Bundesstaat,US-Bundesstaat,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Dock,Dock,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Sumatra Barat,Sumatra Barat,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Supertaifun Fung-Wong,Supertaifun Fung-Wong,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Westsumatra,Westsumatra,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Nord-,Nord-,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Aceh,Aceh,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Aurora,Aurora,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Sri Lank…,Sri Lank…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Supertaifun Fung-wong,Supertaifun Fung-wong,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Supertaifun „Fung-Wong,Supertaifun „Fung-Wong,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Schiffswrack,Schiffswrack,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
bergen,bergen,LOC,1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Magdeburger,Magdeburger,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Klimawandel,Klimawandel,LOC,0.00000000,1.00000000,de,1.00000000,,-1,,,,,,
Verisk,Verisk,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Sturm Kalmaegi,Sturm Kalmaegi,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Chinas,Chinas,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Abendhimmel,Abendhimmel,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Starke Regenfälle,Starke Regenfälle,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Wirbelsturm…,Wirbelsturm…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Samar,Samar,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Bualoi a,Bualoi a,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Bewohner,Bewohner,LOC,-1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Tropensturm Melissa,Tropensturm Melissa,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Port Royal,Port Royal,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Inselstaats,Inselstaats,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Land reg…,Land reg…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Wirbelsturm d…,Wirbelsturm d…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Hurrikan-Stärke,Hurrikan-Stärke,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Gliedstaates besingen,Gliedstaates besingen,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Dienstagmorgen,Dienstagmorgen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Hanoi,Hanoi,LOC,-0.85000000,0.00000000,de,1.00000000,,-1,,,,,,
US-Hurrikanzentr…,US-Hurrikanzentr…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
s…,s…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Europa,Europa,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Sturmflut,Sturmflut,LOC,-0.56666667,0.33333333,de,1.00000000,,-1,,,,,,
Zentrum des Hurrikans,Zentrum des Hurrikans,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Ahrtal,Ahrtal,LOC,0.00000000,1.00000000,de,1.00000000,,-1,,,,,,
Küste von Jamaika,Küste von Jamaika,LOC,-1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Kingston Monstersturm Melissa,Kingston Monstersturm Melissa,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Sonnenaufgang,Sonnenaufgang,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Meeres,Meeres,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Trump-Lager,Trump-Lager,LOC,1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Israel,Israel,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Irawan,Irawan,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Alaska,Alaska,LOC,1.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Halong,Halong,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Yukon-Kuskokwim-Delta,Yukon-Kuskokwim-Delta,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Bangladesch,Bangladesch,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Notunterkünfte,Notunterkünfte,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Paris,Paris,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Ermont…,Ermont…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
US-Westküste,US-Westküste,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Orkanböen,Orkanböen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Nordseeküste,Nordseeküste,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Nordsee,Nordsee,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Nordmeer,Nordmeer,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Puerto Rico,Puerto Rico,LOC,1.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Joshua,Joshua,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Bretagne,Bretagne,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Ärmelkanal,Ärmelkanal,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Herbststurm Joshua,Herbststurm Joshua,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Herbststurm,Herbststurm,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Taifun Halong,Taifun Halong,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Alaskas,Alaskas,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Dörfern,Dörfern,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Bad Bunny,Bad Bunny,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Schlimmste,Schlimmste,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Jamaik…,Jamaik…,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Bil…,Bil…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Inselstaates auf Land,Inselstaates auf Land,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Atlantiks,Atlantiks,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Onshore-Immobilien,Onshore-Immobilien,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Bermuda-Inselgruppe,Bermuda-Inselgruppe,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
offene Meer,offene Meer,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Wirbelsturm in der Karibik,Wirbelsturm in der Karibik,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Petit-Goâve,Petit-Goâve,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Port-au-Prince,Port-au-Prince,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Straße,Straße,LOC,0.00000000,2.00000000,de,1.00000000,,-1,,,,,,
Nimand,Nimand,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Sangster International Airport …,Sangster International Airport …,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Krankenhäuser,Krankenhäuser,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Feldlazarette,Feldlazarette,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Hurrikan-Toten,Hurrikan-Toten,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Holland Bamboo,Holland Bamboo,LOC,-0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Bermuda-Inseln,Bermuda-Inseln,LOC,1.40000000,0.00000000,de,1.00000000,,-1,,,,,,
Sturm Melissa,Sturm Melissa,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
südostasiatischen Land,südostasiatischen Land,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Havanna,Havanna,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
noc…,noc…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Zentrum des Sturms der Stufe,Zentrum des Sturms der Stufe,LOC,1.40000000,0.00000000,de,1.00000000,,-1,,,,,,
Ang…,Ang…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Str,Str,LOC,-0.35000000,0.50000000,de,1.00000000,,-1,,,,,,
Irland,Irland,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Umständen,Umständen,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Wirbelsturm i…,Wirbelsturm i…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
i…,i…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Milliardenhöhe,Milliardenhöhe,LOC,-1.00000000,1.00000000,de,1.00000000,,-1,,,,,,
Dominikanischen Republik g,Dominikanischen Republik g,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Live-Karte,Live-Karte,LOC,-2.00000000,0.00000000,de,1.00000000,,-1,,,,,,
Hurrikans,Hurrikans,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
jamaikanische Küste,jamaikanische Küste,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
No…,No…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
d…,d…,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
US-Hurrikanwarnz,US-Hurrikanwarnz,LOC,-0.50000000,0.50000000,de,1.00000000,,-1,,,,,,
Katastrophengebiet,Katastrophengebiet,LOC,0.70000000,0.00000000,de,1.00000000,,-1,,,,,,
Krokodile,Krokodile,LOC,0.00000000,0.00000000,de,1.00000000,,-1,,,,,,
