domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.stern.de,-0.1699094742063492,0.2350720317336884,0.07424768518518518,0.1549204303359368,96.0
www.tagesspiegel.de,-0.09876202501202501,0.18119825144549148,0.06066618566618567,0.10509026303722543,66.0
www.zeit.de,-0.08606026785714285,0.19569052890779848,0.041796875,0.10241239413920813,64.0
www.tagesschau.de,-0.025661375661375656,0.17323710665388467,0.09113756613756614,0.14601378658742228,27.0
orf.at,-0.098125,0.18891267344571086,0.07604166666666666,0.1277195112374168,24.0
www.bild.de,-0.08524621212121211,0.17306109664739625,0.09364177489177489,0.09278759721316081,22.0
www.faz.net,-0.027500000000000004,0.15355648109584083,0.09853896103896104,0.12742785440450552,22.0
www.n-tv.de,-0.06766865079365078,0.19665344582050878,0.06976911976911977,0.11752837520405304,20.0
www.diepresse.com,-0.004047619047619048,0.16599707430595853,0.07466931216931218,0.13460391851110431,18.0
www.sueddeutsche.de,-0.1577083333333333,0.1424271588595661,0.08958333333333333,0.15719788243619648,12.0
www.morgenpost.de,-0.18125541125541125,0.2033517637155516,0.018181818181818184,0.04045199174779453,11.0
www.nzz.ch,0.10669047619047618,0.208087381651604,0.028333333333333332,0.0657576921285569,10.0
www.dw.com,0.020250000000000004,0.14957749400654466,0.06666666666666667,0.08606629658238704,10.0
www.focus.de,0.01927083333333333,0.2484800770893261,0.040625,0.07784772223477612,8.0
www.welt.de,-0.029107142857142856,0.11869538025744995,0.0,0.0,8.0
versicherungswirtschaft-heute.de,0.03958333333333333,0.21249999999999997,0.0,0.0,4.0
taz.de,-0.20416666666666666,0.1468023362413757,0.2708333333333333,0.07978559231302819,4.0
www.spektrum.de,0.020833333333333336,0.3337455784143231,0.020833333333333332,0.041666666666666664,4.0
www.derstandard.at,0.10333333333333333,0.13051181300301262,0.08333333333333333,0.14433756729740646,3.0
www.jungewelt.de,-0.14166666666666666,0.20034692133618845,0.0,0.0,2.0
www.telepolis.de,0.0,0.0,0.0,0.0,2.0
futurezone.at,0.0,1.0,0.0,1.0,1.0
www.kraftfuttermischwerk.de,0.0,1.0,0.0,1.0,1.0
www.kino-zeit.de,0.0,1.0,0.0,1.0,1.0
www.ifun.de,0.0,1.0,0.0,1.0,1.0
www.gamestar.de,0.0,1.0,0.0,1.0,1.0
steiermark.orf.at,0.0,1.0,0.0,1.0,1.0
www.jw.org,0.0,1.0,0.0,1.0,1.0
